-batch,-gmin,-lr,-n_layers,-nreplay,-nsteps,-target_freq,-updates,mean,std,mean+std
32,12,0.0001,3,50000,1,32,15000,88,101,189
32,6,0.0001,3,50000,1,32,30000,88,113,201
32,6,0.0001,3,50000,1,64,30000,93,128,221
32,6,0.0001,3,50000,1,64,15000,95,140,235
64,12,0.0001,3,50000,1,64,15000,96,121,217
64,12,0.0001,3,50000,1,32,15000,96,146,242
32,12,0.0001,3,50000,1,64,30000,99,128,227
64,12,0.0001,3,50000,1,64,30000,100,96,196
64,6,0.0001,3,50000,1,64,15000,100,118,218
64,6,0.0001,3,50000,1,32,30000,101,138,239
32,12,0.0001,3,50000,1,32,30000,101,139,240
32,12,0.0001,3,50000,1,64,15000,117,304,421
32,6,0.0001,3,50000,1,32,15000,122,172,294
64,6,0.0001,3,50000,1,64,30000,129,194,323
64,12,0.0001,3,50000,1,32,30000,132,328,460
64,6,0.0001,3,50000,1,32,15000,162,247,409
